"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 12:26:26 ICT 2023","Mon Oct 09 12:26:42 ICT 2023","16255","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 14",""
"passed","Mon Oct 09 12:49:31 ICT 2023","Mon Oct 09 12:49:34 ICT 2023","2335","","My Bosv2 applicationSukamantriSukamantri","","","","Open the browser",""
"broken","Fri Aug 25 08:16:03 ICT 2023","Fri Aug 25 08:17:03 ICT 2023","60030","","My Bosv2 application","","","","insert data 59",""
"broken","Mon Oct 09 14:49:39 ICT 2023","Mon Oct 09 14:49:39 ICT 2023","8","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 49",""
"broken","Fri Aug 25 07:44:00 ICT 2023","Fri Aug 25 07:44:00 ICT 2023","30","","My Bosv2 application","","","","insert data 78",""
"passed","Tue Sep 26 12:19:40 ICT 2023","Tue Sep 26 12:19:55 ICT 2023","14999","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 79",""
"passed","Mon Aug 28 03:10:27 ICT 2023","Mon Aug 28 03:10:46 ICT 2023","18826","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 2",""
"broken","Tue Sep 26 11:54:00 ICT 2023","Tue Sep 26 11:54:00 ICT 2023","128","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 13",""
"passed","Fri Aug 25 08:01:55 ICT 2023","Fri Aug 25 08:02:10 ICT 2023","15516","","My Bosv2 application","","","","insert data 23",""
"passed","Mon Oct 09 15:06:05 ICT 2023","Mon Oct 09 15:06:23 ICT 2023","18535","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 49",""
"passed","Mon Sep 04 23:48:57 ICT 2023","Mon Sep 04 23:49:14 ICT 2023","16879","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 18",""
"broken","Mon Oct 09 14:49:38 ICT 2023","Mon Oct 09 14:49:38 ICT 2023","10","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 26",""
"passed","Fri Aug 25 12:22:17 ICT 2023","Fri Aug 25 12:22:34 ICT 2023","17017","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 55",""
"passed","Fri Aug 25 08:14:34 ICT 2023","Fri Aug 25 08:14:54 ICT 2023","20046","","My Bosv2 application","","","","insert data 56",""
"passed","Fri Aug 25 12:17:16 ICT 2023","Fri Aug 25 12:17:35 ICT 2023","18614","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 38",""
"passed","Mon Aug 28 03:24:47 ICT 2023","Mon Aug 28 03:25:05 ICT 2023","18559","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 12",""
"passed","Mon Oct 09 14:41:57 ICT 2023","Mon Oct 09 14:42:18 ICT 2023","20432","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 3",""
"passed","Tue Sep 26 12:58:09 ICT 2023","Tue Sep 26 12:58:24 ICT 2023","15050","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 80",""
"passed","Fri Aug 25 10:02:48 ICT 2023","Fri Aug 25 10:03:04 ICT 2023","16136","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 70",""
"passed","Tue Sep 26 12:58:41 ICT 2023","Tue Sep 26 12:59:02 ICT 2023","20913","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 82",""
"passed","Fri Aug 25 08:05:03 ICT 2023","Fri Aug 25 08:05:22 ICT 2023","18399","","My Bosv2 application","","","","insert data 32",""
"passed","Mon Oct 09 12:30:56 ICT 2023","Mon Oct 09 12:31:11 ICT 2023","15483","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 31",""
"passed","Tue Sep 26 13:47:09 ICT 2023","Tue Sep 26 13:47:23 ICT 2023","14426","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 31",""
"passed","Tue Sep 26 13:53:50 ICT 2023","Tue Sep 26 13:54:05 ICT 2023","14445","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 56",""
"passed","Fri Aug 25 08:00:31 ICT 2023","Fri Aug 25 08:00:49 ICT 2023","18111","","My Bosv2 application","","","","insert data 18",""
"passed","Sat Sep 09 06:15:56 ICT 2023","Sat Sep 09 06:16:14 ICT 2023","18429","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 7",""
"passed","Mon Oct 09 14:44:03 ICT 2023","Mon Oct 09 14:44:21 ICT 2023","18007","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 10",""
"passed","Mon Sep 04 23:45:32 ICT 2023","Mon Sep 04 23:45:49 ICT 2023","17586","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 6",""
"passed","Tue Sep 05 00:55:04 ICT 2023","Tue Sep 05 00:55:23 ICT 2023","18637","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 7",""
"passed","Mon Aug 28 03:12:39 ICT 2023","Mon Aug 28 03:12:54 ICT 2023","15491","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 10",""
"passed","Tue Sep 26 12:48:09 ICT 2023","Tue Sep 26 12:48:24 ICT 2023","15045","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 47",""
"passed","Fri Aug 25 10:38:25 ICT 2023","Fri Aug 25 10:38:42 ICT 2023","17667","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 1",""
"passed","Tue Sep 26 13:18:05 ICT 2023","Tue Sep 26 13:18:21 ICT 2023","16760","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 26",""
"passed","Mon Oct 09 14:12:50 ICT 2023","Mon Oct 09 14:13:10 ICT 2023","19258","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 28",""
"passed","Sat Sep 09 06:52:36 ICT 2023","Sat Sep 09 06:52:55 ICT 2023","18724","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 10",""
"passed","Fri Aug 25 08:02:26 ICT 2023","Fri Aug 25 08:02:46 ICT 2023","20343","","My Bosv2 application","","","","insert data 25",""
"passed","Sat Sep 09 06:28:21 ICT 2023","Sat Sep 09 06:28:38 ICT 2023","17172","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 3",""
"passed","Mon Oct 09 13:45:31 ICT 2023","Mon Oct 09 13:45:55 ICT 2023","23904","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 49",""
"passed","Tue Sep 05 00:20:30 ICT 2023","Tue Sep 05 00:20:49 ICT 2023","18793","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 20",""
"passed","Sat Sep 09 06:14:24 ICT 2023","Sat Sep 09 06:14:26 ICT 2023","1739","","My Bosv2 applicationPanjaluSandingtaman","","","","Open the browser",""
"passed","Mon Oct 09 14:12:17 ICT 2023","Mon Oct 09 14:12:34 ICT 2023","17269","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 26",""
